Ticket Number,Category,Issue Description,Priority,Status,Department,Assigned To,Date Created,Date Updated,Resolution,Notes,Attachments
TKT5815,Process Improvement,Suggestion to optimize the operation process of Welding Equipment to increase throughput and reduce waste.,High,Closed,Safety,Alice Johnson,2024-01-23 17:09,2024-01-27 17:09,Replaced upgraded software. Equipment now performance improved.,,
TKT4967,Process Improvement,Suggestion to optimize the operation process of CNC Router to increase throughput and reduce waste.,High,Closed,Quality Control,John Smith,2024-03-19 17:09,2024-03-22 17:09,Installed pressure sensor. Equipment now performance improved.,,
TKT9415,Process Improvement,Suggestion to optimize the operation process of Hydraulic Press to increase throughput and reduce waste.,Low,Closed,Quality Control,Bob Lee,2024-03-22 17:09,2024-03-26 17:09,Updated pressure sensor. Equipment now requires further testing.,,Image of affected part
TKT4315,Process Improvement,Suggestion to optimize the operation process of Hydraulic Press to increase throughput and reduce waste.,Medium,In Progress,Safety,Sara Moore,2024-02-15 17:09,2024-02-18 17:09,,Follow up required,Image of affected part
TKT1641,Process Improvement,Suggestion to optimize the operation process of Milling Machine to increase throughput and reduce waste.,Medium,Closed,Maintenance,Mike Brown,2024-03-28 17:09,2024-03-29 17:09,Installed replacement motor. Equipment now issue resolved.,,Image of affected part
TKT5584,Process Improvement,Suggestion to optimize the operation process of Engine Lathe to increase throughput and reduce waste.,Low,Closed,Safety,Mike Brown,2024-01-23 17:09,2024-01-24 17:09,Updated hydraulic arm. Equipment now performance improved.,,Image of affected part
TKT5644,Process Improvement,Suggestion to optimize the operation process of Welding Equipment to increase throughput and reduce waste.,Medium,Closed,Maintenance,Laura Wilson,2024-01-22 17:09,2024-01-26 17:09,Calibrated replacement motor. Equipment now issue resolved.,,Image of affected part
TKT8813,Process Improvement,Suggestion to optimize the operation process of Milling Machine to increase throughput and reduce waste.,High,Closed,Safety,Sara Moore,2024-02-18 17:09,2024-02-22 17:09,Replaced upgraded software. Equipment now under observation.,,
TKT8335,Process Improvement,Suggestion to optimize the operation process of CNC Router to increase throughput and reduce waste.,Medium,Closed,Quality Control,Jack Davis,2024-01-14 17:09,2024-01-17 17:09,Installed pressure sensor. Equipment now under observation.,,Image of affected part
TKT1769,Process Improvement,Suggestion to optimize the operation process of Hydraulic Press to increase throughput and reduce waste.,Medium,Closed,Safety,Tom Clark,2024-04-06 17:09,2024-04-10 17:09,Repaired upgraded software. Equipment now requires further testing.,,
TKT9117,Process Improvement,Suggestion to optimize the operation process of Welding Equipment to increase throughput and reduce waste.,High,In Progress,Safety,Jack Davis,2024-03-20 17:09,2024-03-22 17:09,,Follow up required,Image of affected part
TKT9241,Process Improvement,Suggestion to optimize the operation process of Welding Equipment to increase throughput and reduce waste.,High,Closed,Quality Control,Alice Johnson,2024-01-24 17:09,2024-01-24 17:09,Replaced upgraded software. Equipment now fully operational.,,Image of affected part
TKT1755,Process Improvement,Suggestion to optimize the operation process of CNC Router to increase throughput and reduce waste.,Low,Open,Maintenance,Bob Lee,2024-02-03 17:09,2024-02-03 17:09,,,
TKT4088,Process Improvement,Suggestion to optimize the operation process of Engine Lathe to increase throughput and reduce waste.,Low,In Progress,Maintenance,Alice Johnson,2024-02-19 17:09,2024-02-22 17:09,,Follow up required,Image of affected part
TKT6297,Process Improvement,Suggestion to optimize the operation process of Milling Machine to increase throughput and reduce waste.,High,Open,Quality Control,Sara Moore,2024-02-02 17:09,2024-02-02 17:09,,,
TKT8850,Process Improvement,Suggestion to optimize the operation process of CNC Router to increase throughput and reduce waste.,High,Open,Safety,Laura Wilson,2024-02-15 17:09,2024-02-15 17:09,,,
TKT8374,Process Improvement,Suggestion to optimize the operation process of Engine Lathe to increase throughput and reduce waste.,Low,Closed,Maintenance,Tom Clark,2024-03-07 17:09,2024-03-07 17:09,Repaired pressure sensor. Equipment now performance improved.,,Image of affected part
TKT1143,Process Improvement,Suggestion to optimize the operation process of CNC Router to increase throughput and reduce waste.,Low,In Progress,Safety,John Smith,2024-03-01 17:09,2024-03-01 17:09,,Follow up required,Image of affected part
TKT8742,Process Improvement,Suggestion to optimize the operation process of Hydraulic Press to increase throughput and reduce waste.,High,Closed,Maintenance,Bob Lee,2024-03-09 17:09,2024-03-14 17:09,Repaired upgraded software. Equipment now fully operational.,,Image of affected part
TKT2970,Process Improvement,Suggestion to optimize the operation process of Hydraulic Press to increase throughput and reduce waste.,High,Open,Maintenance,Tom Clark,2024-02-14 17:09,2024-02-14 17:09,,,
TKT7029,Process Improvement,Suggestion to optimize the operation process of CNC Router to increase throughput and reduce waste.,Medium,In Progress,Quality Control,Jack Davis,2024-02-29 17:09,2024-02-29 17:09,,Follow up required,
TKT4343,Process Improvement,Suggestion to optimize the operation process of Welding Equipment to increase throughput and reduce waste.,Medium,Closed,Quality Control,Mike Brown,2024-03-10 17:09,2024-03-15 17:09,Installed new spindle. Equipment now issue resolved.,,
TKT9363,Process Improvement,Suggestion to optimize the operation process of Milling Machine to increase throughput and reduce waste.,Medium,Open,Maintenance,Jack Davis,2024-03-03 17:09,2024-03-03 17:09,,,Image of affected part
TKT1234,Inventory Management,"Inventory discrepancies noted in parts for Milling Machine, affecting production planning.",Low,Closed,Safety,Carol Taylor,2024-02-23 17:09,2024-02-24 17:09,Repaired upgraded software. Equipment now under observation.,,
TKT8151,Inventory Management,"Inventory discrepancies noted in parts for Engine Lathe, affecting production planning.",High,In Progress,Quality Control,Mike Brown,2024-03-01 17:09,2024-03-05 17:09,,Follow up required,
TKT8838,Inventory Management,"Inventory discrepancies noted in parts for CNC Router, affecting production planning.",Medium,In Progress,Maintenance,Alice Johnson,2024-03-21 17:09,2024-03-24 17:09,,Follow up required,
TKT1844,Inventory Management,"Inventory discrepancies noted in parts for Hydraulic Press, affecting production planning.",Medium,Closed,Quality Control,Jack Davis,2024-03-15 17:09,2024-03-19 17:09,Updated replacement motor. Equipment now under observation.,,
TKT3233,Inventory Management,"Inventory discrepancies noted in parts for CNC Router, affecting production planning.",Low,Open,Maintenance,John Smith,2024-01-22 17:09,2024-01-22 17:09,,,Image of affected part
TKT8599,Inventory Management,"Inventory discrepancies noted in parts for Engine Lathe, affecting production planning.",Low,Open,Quality Control,Sara Moore,2024-02-08 17:09,2024-02-08 17:09,,,Image of affected part
TKT1408,Inventory Management,"Inventory discrepancies noted in parts for CNC Router, affecting production planning.",Low,In Progress,Maintenance,Mike Brown,2024-03-08 17:09,2024-03-11 17:09,,Follow up required,
TKT9967,Inventory Management,"Inventory discrepancies noted in parts for CNC Router, affecting production planning.",Medium,In Progress,Quality Control,Bob Lee,2024-01-20 17:09,2024-01-20 17:09,,Follow up required,Image of affected part
TKT5699,Inventory Management,"Inventory discrepancies noted in parts for Hydraulic Press, affecting production planning.",Medium,Open,Safety,Bob Lee,2024-02-12 17:09,2024-02-12 17:09,,,
TKT1052,Inventory Management,"Inventory discrepancies noted in parts for Hydraulic Press, affecting production planning.",Low,In Progress,Quality Control,Mike Brown,2024-02-14 17:09,2024-02-16 17:09,,Follow up required,Image of affected part
TKT6163,Inventory Management,"Inventory discrepancies noted in parts for CNC Router, affecting production planning.",Medium,In Progress,Quality Control,Laura Wilson,2024-04-01 17:09,2024-04-03 17:09,,Follow up required,Image of affected part
TKT9921,Inventory Management,"Inventory discrepancies noted in parts for Hydraulic Press, affecting production planning.",Low,Open,Safety,John Smith,2024-03-25 17:09,2024-03-25 17:09,,,Image of affected part
TKT6243,Inventory Management,"Inventory discrepancies noted in parts for Hydraulic Press, affecting production planning.",High,Open,Quality Control,Mike Brown,2024-02-25 17:09,2024-02-25 17:09,,,
TKT6018,Inventory Management,"Inventory discrepancies noted in parts for Welding Equipment, affecting production planning.",Medium,In Progress,Quality Control,Bob Lee,2024-04-08 17:09,2024-04-13 17:09,,Follow up required,
TKT4817,Inventory Management,"Inventory discrepancies noted in parts for Hydraulic Press, affecting production planning.",High,In Progress,Safety,Sara Moore,2024-02-25 17:09,2024-02-28 17:09,,Follow up required,Image of affected part
TKT6550,Inventory Management,"Inventory discrepancies noted in parts for Welding Equipment, affecting production planning.",Medium,Open,Maintenance,Mike Brown,2024-04-08 17:09,2024-04-08 17:09,,,Image of affected part
TKT6911,Inventory Management,"Inventory discrepancies noted in parts for CNC Router, affecting production planning.",High,Open,Maintenance,Jane Doe,2024-02-29 17:09,2024-02-29 17:09,,,
TKT5821,Inventory Management,"Inventory discrepancies noted in parts for Engine Lathe, affecting production planning.",Medium,Closed,Maintenance,Jane Doe,2024-02-18 17:09,2024-02-22 17:09,Updated replacement motor. Equipment now fully operational.,,
TKT8201,Inventory Management,"Inventory discrepancies noted in parts for Welding Equipment, affecting production planning.",Low,Closed,Quality Control,Sara Moore,2024-02-21 17:09,2024-02-22 17:09,Repaired pressure sensor. Equipment now fully operational.,,Image of affected part
TKT7439,Inventory Management,"Inventory discrepancies noted in parts for Welding Equipment, affecting production planning.",High,In Progress,Maintenance,Laura Wilson,2024-04-04 17:09,2024-04-09 17:09,,Follow up required,Image of affected part
TKT8402,Inventory Management,"Inventory discrepancies noted in parts for Hydraulic Press, affecting production planning.",High,Closed,Maintenance,Mike Brown,2024-03-09 17:09,2024-03-14 17:09,Calibrated pressure sensor. Equipment now performance improved.,,
TKT5703,Inventory Management,"Inventory discrepancies noted in parts for Hydraulic Press, affecting production planning.",High,Closed,Maintenance,Alice Johnson,2024-03-08 17:09,2024-03-13 17:09,Updated pressure sensor. Equipment now performance improved.,,
TKT7201,Inventory Management,"Inventory discrepancies noted in parts for Hydraulic Press, affecting production planning.",Low,Open,Maintenance,Mike Brown,2024-03-03 17:09,2024-03-03 17:09,,,Image of affected part
TKT1891,Inventory Management,"Inventory discrepancies noted in parts for Engine Lathe, affecting production planning.",High,Open,Maintenance,John Smith,2024-02-12 17:09,2024-02-12 17:09,,,
TKT8413,Inventory Management,"Inventory discrepancies noted in parts for Welding Equipment, affecting production planning.",Low,Open,Safety,Carol Taylor,2024-04-03 17:09,2024-04-03 17:09,,,
TKT9594,Inventory Management,"Inventory discrepancies noted in parts for Milling Machine, affecting production planning.",Low,Closed,Safety,Jack Davis,2024-04-07 17:09,2024-04-12 17:09,Updated new spindle. Equipment now issue resolved.,,
TKT8750,Inventory Management,"Inventory discrepancies noted in parts for CNC Router, affecting production planning.",Medium,In Progress,Quality Control,Laura Wilson,2024-02-04 17:09,2024-02-05 17:09,,Follow up required,
TKT8591,Inventory Management,"Inventory discrepancies noted in parts for Hydraulic Press, affecting production planning.",Medium,Closed,Quality Control,John Smith,2024-03-22 17:09,2024-03-22 17:09,Calibrated pressure sensor. Equipment now performance improved.,,Image of affected part
TKT7801,Inventory Management,"Inventory discrepancies noted in parts for Welding Equipment, affecting production planning.",High,In Progress,Quality Control,Jane Doe,2024-01-13 17:09,2024-01-16 17:09,,Follow up required,Image of affected part
TKT5723,Inventory Management,"Inventory discrepancies noted in parts for Milling Machine, affecting production planning.",High,In Progress,Quality Control,Carol Taylor,2024-04-02 17:09,2024-04-03 17:09,,Follow up required,
TKT2161,Inventory Management,"Inventory discrepancies noted in parts for Welding Equipment, affecting production planning.",High,In Progress,Safety,Mike Brown,2024-04-09 17:09,2024-04-10 17:09,,Follow up required,Image of affected part
TKT2354,Inventory Management,"Inventory discrepancies noted in parts for Engine Lathe, affecting production planning.",Low,Closed,Maintenance,Carol Taylor,2024-02-22 17:09,2024-02-26 17:09,Replaced upgraded software. Equipment now requires further testing.,,
TKT1202,Inventory Management,"Inventory discrepancies noted in parts for Hydraulic Press, affecting production planning.",Low,Open,Quality Control,Mike Brown,2024-02-23 17:09,2024-02-23 17:09,,,Image of affected part
TKT5566,Inventory Management,"Inventory discrepancies noted in parts for Engine Lathe, affecting production planning.",Low,Closed,Safety,Bob Lee,2024-04-10 17:09,2024-04-10 17:09,Updated pressure sensor. Equipment now requires further testing.,,
TKT1005,Inventory Management,"Inventory discrepancies noted in parts for Hydraulic Press, affecting production planning.",Medium,Open,Quality Control,Jane Doe,2024-04-01 17:09,2024-04-01 17:09,,,
TKT2481,Inventory Management,"Inventory discrepancies noted in parts for Welding Equipment, affecting production planning.",High,Open,Safety,John Smith,2024-02-18 17:09,2024-02-18 17:09,,,
TKT5701,Inventory Management,"Inventory discrepancies noted in parts for Welding Equipment, affecting production planning.",High,Closed,Safety,Carol Taylor,2024-01-13 17:09,2024-01-13 17:09,Repaired replacement motor. Equipment now fully operational.,,
TKT6724,Inventory Management,"Inventory discrepancies noted in parts for Engine Lathe, affecting production planning.",Low,Open,Quality Control,Jack Davis,2024-03-31 17:09,2024-03-31 17:09,,,Image of affected part
TKT5369,Inventory Management,"Inventory discrepancies noted in parts for Engine Lathe, affecting production planning.",High,In Progress,Quality Control,Jane Doe,2024-01-14 17:09,2024-01-14 17:09,,Follow up required,Image of affected part
TKT9328,Inventory Management,"Inventory discrepancies noted in parts for Milling Machine, affecting production planning.",Medium,Open,Maintenance,Mike Brown,2024-03-05 17:09,2024-03-05 17:09,,,
TKT9331,Inventory Management,"Inventory discrepancies noted in parts for CNC Router, affecting production planning.",Low,Closed,Quality Control,John Smith,2024-03-23 17:09,2024-03-25 17:09,Updated replacement motor. Equipment now performance improved.,,Image of affected part
TKT3363,Inventory Management,"Inventory discrepancies noted in parts for Milling Machine, affecting production planning.",Medium,In Progress,Maintenance,Tom Clark,2024-03-01 17:09,2024-03-03 17:09,,Follow up required,Image of affected part
TKT9026,Inventory Management,"Inventory discrepancies noted in parts for Welding Equipment, affecting production planning.",Low,Closed,Maintenance,Laura Wilson,2024-02-26 17:09,2024-02-26 17:09,Replaced new spindle. Equipment now fully operational.,,Image of affected part
TKT8960,Inventory Management,"Inventory discrepancies noted in parts for CNC Router, affecting production planning.",Medium,Closed,Quality Control,Carol Taylor,2024-02-28 17:09,2024-02-28 17:09,Repaired hydraulic arm. Equipment now under observation.,,Image of affected part
TKT2005,Inventory Management,"Inventory discrepancies noted in parts for CNC Router, affecting production planning.",High,Open,Safety,Alice Johnson,2024-03-28 17:09,2024-03-28 17:09,,,
TKT9979,Inventory Management,"Inventory discrepancies noted in parts for CNC Router, affecting production planning.",Medium,In Progress,Quality Control,Jane Doe,2024-01-28 17:09,2024-02-02 17:09,,Follow up required,
TKT1538,Inventory Management,"Inventory discrepancies noted in parts for Milling Machine, affecting production planning.",High,Closed,Safety,John Smith,2024-01-17 17:09,2024-01-17 17:09,Installed replacement motor. Equipment now requires further testing.,,
TKT6980,Inventory Management,"Inventory discrepancies noted in parts for Welding Equipment, affecting production planning.",High,Open,Quality Control,Tom Clark,2024-03-07 17:09,2024-03-07 17:09,,,
TKT6136,Inventory Management,"Inventory discrepancies noted in parts for Milling Machine, affecting production planning.",Low,Open,Maintenance,Tom Clark,2024-02-03 17:09,2024-02-03 17:09,,,Image of affected part
TKT3384,Inventory Management,"Inventory discrepancies noted in parts for Hydraulic Press, affecting production planning.",High,In Progress,Maintenance,Sara Moore,2024-04-02 17:09,2024-04-04 17:09,,Follow up required,Image of affected part
TKT9786,Documentation Update,Outdated operating manuals for CNC Router. Documentation needs urgent updating for compliance.,High,In Progress,Quality Control,Mike Brown,2024-04-01 17:09,2024-04-03 17:09,,Follow up required,
TKT1692,Documentation Update,Outdated operating manuals for CNC Router. Documentation needs urgent updating for compliance.,High,In Progress,Safety,Carol Taylor,2024-03-31 17:09,2024-04-04 17:09,,Follow up required,
TKT7699,Documentation Update,Outdated operating manuals for Engine Lathe. Documentation needs urgent updating for compliance.,High,In Progress,Safety,Alice Johnson,2024-01-30 17:09,2024-02-03 17:09,,Follow up required,
TKT5283,Documentation Update,Outdated operating manuals for Milling Machine. Documentation needs urgent updating for compliance.,Low,Closed,Safety,Tom Clark,2024-01-30 17:09,2024-02-03 17:09,Updated pressure sensor. Equipment now requires further testing.,,
TKT8153,Documentation Update,Outdated operating manuals for Welding Equipment. Documentation needs urgent updating for compliance.,Low,In Progress,Maintenance,Mike Brown,2024-03-25 17:09,2024-03-30 17:09,,Follow up required,
TKT5984,Documentation Update,Outdated operating manuals for Hydraulic Press. Documentation needs urgent updating for compliance.,High,In Progress,Safety,Mike Brown,2024-04-06 17:09,2024-04-09 17:09,,Follow up required,Image of affected part
TKT1612,Documentation Update,Outdated operating manuals for Engine Lathe. Documentation needs urgent updating for compliance.,Low,Closed,Quality Control,Jack Davis,2024-02-02 17:09,2024-02-04 17:09,Replaced replacement motor. Equipment now issue resolved.,,
TKT5256,Documentation Update,Outdated operating manuals for Engine Lathe. Documentation needs urgent updating for compliance.,High,Open,Quality Control,Laura Wilson,2024-04-07 17:09,2024-04-07 17:09,,,Image of affected part
TKT3983,Documentation Update,Outdated operating manuals for CNC Router. Documentation needs urgent updating for compliance.,Low,Closed,Safety,Jack Davis,2024-01-15 17:09,2024-01-16 17:09,Replaced hydraulic arm. Equipment now fully operational.,,Image of affected part
TKT5373,Documentation Update,Outdated operating manuals for Hydraulic Press. Documentation needs urgent updating for compliance.,Low,Closed,Maintenance,Jack Davis,2024-01-26 17:09,2024-01-30 17:09,Installed hydraulic arm. Equipment now fully operational.,,
TKT6542,Documentation Update,Outdated operating manuals for Welding Equipment. Documentation needs urgent updating for compliance.,High,Closed,Maintenance,Bob Lee,2024-02-10 17:09,2024-02-12 17:09,Replaced hydraulic arm. Equipment now issue resolved.,,Image of affected part
TKT2416,Documentation Update,Outdated operating manuals for Welding Equipment. Documentation needs urgent updating for compliance.,High,Open,Quality Control,John Smith,2024-02-23 17:09,2024-02-23 17:09,,,
TKT3888,Documentation Update,Outdated operating manuals for Engine Lathe. Documentation needs urgent updating for compliance.,Low,Closed,Maintenance,Carol Taylor,2024-03-15 17:09,2024-03-17 17:09,Replaced hydraulic arm. Equipment now under observation.,,Image of affected part
TKT5319,Documentation Update,Outdated operating manuals for Hydraulic Press. Documentation needs urgent updating for compliance.,Medium,In Progress,Safety,Jane Doe,2024-02-18 17:09,2024-02-18 17:09,,Follow up required,
TKT3874,Documentation Update,Outdated operating manuals for Engine Lathe. Documentation needs urgent updating for compliance.,Medium,Open,Maintenance,Tom Clark,2024-02-24 17:09,2024-02-24 17:09,,,Image of affected part
TKT3125,Documentation Update,Outdated operating manuals for Welding Equipment. Documentation needs urgent updating for compliance.,Medium,Closed,Quality Control,Jane Doe,2024-03-07 17:09,2024-03-12 17:09,Updated pressure sensor. Equipment now under observation.,,
TKT4017,Documentation Update,Outdated operating manuals for Welding Equipment. Documentation needs urgent updating for compliance.,High,Open,Quality Control,Jack Davis,2024-02-12 17:09,2024-02-12 17:09,,,Image of affected part
TKT5831,Documentation Update,Outdated operating manuals for Milling Machine. Documentation needs urgent updating for compliance.,Medium,In Progress,Maintenance,Carol Taylor,2024-03-20 17:09,2024-03-23 17:09,,Follow up required,
TKT7872,Documentation Update,Outdated operating manuals for Milling Machine. Documentation needs urgent updating for compliance.,Low,In Progress,Quality Control,Tom Clark,2024-03-23 17:09,2024-03-27 17:09,,Follow up required,
TKT5311,Documentation Update,Outdated operating manuals for Engine Lathe. Documentation needs urgent updating for compliance.,High,Closed,Quality Control,Laura Wilson,2024-04-04 17:09,2024-04-05 17:09,Repaired new spindle. Equipment now issue resolved.,,
TKT9991,Documentation Update,Outdated operating manuals for Engine Lathe. Documentation needs urgent updating for compliance.,Low,In Progress,Safety,Alice Johnson,2024-03-29 17:09,2024-04-02 17:09,,Follow up required,
TKT9840,Documentation Update,Outdated operating manuals for Engine Lathe. Documentation needs urgent updating for compliance.,Medium,In Progress,Quality Control,Alice Johnson,2024-02-14 17:09,2024-02-17 17:09,,Follow up required,
TKT8043,Documentation Update,Outdated operating manuals for Welding Equipment. Documentation needs urgent updating for compliance.,Low,Open,Maintenance,Bob Lee,2024-03-25 17:09,2024-03-25 17:09,,,Image of affected part
TKT6224,Documentation Update,Outdated operating manuals for Engine Lathe. Documentation needs urgent updating for compliance.,Low,Open,Maintenance,Tom Clark,2024-01-28 17:09,2024-01-28 17:09,,,Image of affected part
TKT3078,Documentation Update,Outdated operating manuals for Hydraulic Press. Documentation needs urgent updating for compliance.,High,Closed,Maintenance,Tom Clark,2024-03-06 17:09,2024-03-10 17:09,Calibrated replacement motor. Equipment now issue resolved.,,Image of affected part
TKT5902,Documentation Update,Outdated operating manuals for Hydraulic Press. Documentation needs urgent updating for compliance.,High,Open,Safety,Mike Brown,2024-03-18 17:09,2024-03-18 17:09,,,Image of affected part
TKT9120,Documentation Update,Outdated operating manuals for Welding Equipment. Documentation needs urgent updating for compliance.,Low,Closed,Maintenance,Mike Brown,2024-04-04 17:09,2024-04-09 17:09,Updated new spindle. Equipment now requires further testing.,,
TKT1137,Documentation Update,Outdated operating manuals for Welding Equipment. Documentation needs urgent updating for compliance.,Medium,Closed,Safety,Tom Clark,2024-04-08 17:09,2024-04-08 17:09,Updated replacement motor. Equipment now performance improved.,,
TKT6453,Documentation Update,Outdated operating manuals for Milling Machine. Documentation needs urgent updating for compliance.,Medium,In Progress,Maintenance,Bob Lee,2024-03-16 17:09,2024-03-21 17:09,,Follow up required,Image of affected part
TKT5859,Documentation Update,Outdated operating manuals for Engine Lathe. Documentation needs urgent updating for compliance.,Medium,Closed,Maintenance,Jack Davis,2024-01-13 17:09,2024-01-13 17:09,Installed replacement motor. Equipment now under observation.,,Image of affected part
TKT2490,Documentation Update,Outdated operating manuals for Welding Equipment. Documentation needs urgent updating for compliance.,High,Closed,Safety,Tom Clark,2024-01-22 17:09,2024-01-24 17:09,Calibrated pressure sensor. Equipment now under observation.,,
TKT4638,Documentation Update,Outdated operating manuals for CNC Router. Documentation needs urgent updating for compliance.,High,Closed,Safety,Bob Lee,2024-03-19 17:09,2024-03-22 17:09,Calibrated new spindle. Equipment now requires further testing.,,Image of affected part
TKT9757,Documentation Update,Outdated operating manuals for Engine Lathe. Documentation needs urgent updating for compliance.,Medium,Closed,Maintenance,John Smith,2024-03-13 17:09,2024-03-15 17:09,Repaired hydraulic arm. Equipment now requires further testing.,,Image of affected part
TKT6762,Documentation Update,Outdated operating manuals for Engine Lathe. Documentation needs urgent updating for compliance.,Medium,Closed,Quality Control,John Smith,2024-04-05 17:09,2024-04-09 17:09,Calibrated upgraded software. Equipment now under observation.,,
TKT8195,Documentation Update,Outdated operating manuals for Milling Machine. Documentation needs urgent updating for compliance.,High,Closed,Quality Control,Jane Doe,2024-04-11 17:09,2024-04-12 17:09,Replaced replacement motor. Equipment now under observation.,,Image of affected part
TKT5687,Documentation Update,Outdated operating manuals for Engine Lathe. Documentation needs urgent updating for compliance.,Low,Open,Quality Control,John Smith,2024-03-27 17:09,2024-03-27 17:09,,,Image of affected part
TKT4881,Documentation Update,Outdated operating manuals for Welding Equipment. Documentation needs urgent updating for compliance.,High,Closed,Maintenance,Carol Taylor,2024-01-26 17:09,2024-01-31 17:09,Calibrated upgraded software. Equipment now requires further testing.,,Image of affected part
TKT2986,Documentation Update,Outdated operating manuals for Hydraulic Press. Documentation needs urgent updating for compliance.,Medium,Open,Maintenance,John Smith,2024-03-23 17:09,2024-03-23 17:09,,,Image of affected part
TKT9862,Documentation Update,Outdated operating manuals for Welding Equipment. Documentation needs urgent updating for compliance.,High,Open,Maintenance,Alice Johnson,2024-04-11 17:09,2024-04-11 17:09,,,
TKT8842,Documentation Update,Outdated operating manuals for Milling Machine. Documentation needs urgent updating for compliance.,Medium,In Progress,Safety,Laura Wilson,2024-01-18 17:09,2024-01-18 17:09,,Follow up required,Image of affected part
TKT3168,Documentation Update,Outdated operating manuals for Hydraulic Press. Documentation needs urgent updating for compliance.,Low,Closed,Safety,Carol Taylor,2024-01-31 17:09,2024-02-03 17:09,Calibrated hydraulic arm. Equipment now performance improved.,,
TKT9343,Documentation Update,Outdated operating manuals for Welding Equipment. Documentation needs urgent updating for compliance.,High,Closed,Safety,John Smith,2024-04-04 17:09,2024-04-05 17:09,Repaired pressure sensor. Equipment now requires further testing.,,Image of affected part
TKT5293,Documentation Update,Outdated operating manuals for Hydraulic Press. Documentation needs urgent updating for compliance.,High,Closed,Quality Control,Alice Johnson,2024-01-23 17:09,2024-01-26 17:09,Calibrated hydraulic arm. Equipment now performance improved.,,Image of affected part
TKT3711,Documentation Update,Outdated operating manuals for Hydraulic Press. Documentation needs urgent updating for compliance.,Medium,Open,Maintenance,Alice Johnson,2024-02-10 17:09,2024-02-10 17:09,,,
TKT7569,Documentation Update,Outdated operating manuals for Milling Machine. Documentation needs urgent updating for compliance.,High,In Progress,Safety,Jane Doe,2024-02-29 17:09,2024-03-05 17:09,,Follow up required,
TKT2967,Documentation Update,Outdated operating manuals for Welding Equipment. Documentation needs urgent updating for compliance.,Low,Open,Maintenance,Carol Taylor,2024-02-06 17:09,2024-02-06 17:09,,,Image of affected part
TKT6485,Documentation Update,Outdated operating manuals for Engine Lathe. Documentation needs urgent updating for compliance.,Medium,Closed,Maintenance,Bob Lee,2024-02-21 17:09,2024-02-22 17:09,Replaced new spindle. Equipment now requires further testing.,,
TKT5732,Documentation Update,Outdated operating manuals for Engine Lathe. Documentation needs urgent updating for compliance.,Low,Open,Maintenance,Carol Taylor,2024-04-12 17:09,2024-04-12 17:09,,,Image of affected part
TKT6264,Documentation Update,Outdated operating manuals for Engine Lathe. Documentation needs urgent updating for compliance.,Medium,In Progress,Safety,John Smith,2024-03-19 17:09,2024-03-19 17:09,,Follow up required,
TKT6810,Documentation Update,Outdated operating manuals for CNC Router. Documentation needs urgent updating for compliance.,Low,Closed,Quality Control,John Smith,2024-04-02 17:09,2024-04-07 17:09,Repaired replacement motor. Equipment now under observation.,,
TKT9224,Regulatory Compliance,Compliance check required for Welding Equipment to meet new industry standards.,Low,Open,Maintenance,Jack Davis,2024-04-09 17:09,2024-04-09 17:09,,,Image of affected part
TKT2410,Regulatory Compliance,Compliance check required for CNC Router to meet new industry standards.,Medium,Open,Quality Control,Jane Doe,2024-02-01 17:09,2024-02-01 17:09,,,Image of affected part
TKT6800,Regulatory Compliance,Compliance check required for CNC Router to meet new industry standards.,Medium,In Progress,Quality Control,Carol Taylor,2024-04-06 17:09,2024-04-07 17:09,,Follow up required,
TKT7844,Regulatory Compliance,Compliance check required for Engine Lathe to meet new industry standards.,High,In Progress,Quality Control,Jack Davis,2024-03-22 17:09,2024-03-26 17:09,,Follow up required,Image of affected part
TKT3889,Regulatory Compliance,Compliance check required for Hydraulic Press to meet new industry standards.,High,In Progress,Safety,Jane Doe,2024-02-08 17:09,2024-02-11 17:09,,Follow up required,
TKT6392,Regulatory Compliance,Compliance check required for Engine Lathe to meet new industry standards.,High,In Progress,Safety,Mike Brown,2024-01-25 17:09,2024-01-30 17:09,,Follow up required,Image of affected part
TKT5801,Regulatory Compliance,Compliance check required for Milling Machine to meet new industry standards.,High,Closed,Maintenance,Jack Davis,2024-02-24 17:09,2024-02-24 17:09,Repaired new spindle. Equipment now under observation.,,Image of affected part
TKT8477,Regulatory Compliance,Compliance check required for Hydraulic Press to meet new industry standards.,Low,Open,Quality Control,Tom Clark,2024-03-04 17:09,2024-03-04 17:09,,,Image of affected part
TKT4839,Regulatory Compliance,Compliance check required for Engine Lathe to meet new industry standards.,Low,In Progress,Quality Control,Alice Johnson,2024-01-20 17:09,2024-01-22 17:09,,Follow up required,Image of affected part
TKT6094,Regulatory Compliance,Compliance check required for Hydraulic Press to meet new industry standards.,Low,In Progress,Maintenance,Laura Wilson,2024-02-15 17:09,2024-02-20 17:09,,Follow up required,Image of affected part
TKT9811,Regulatory Compliance,Compliance check required for Engine Lathe to meet new industry standards.,Low,Closed,Maintenance,Bob Lee,2024-04-12 17:09,2024-04-15 17:09,Installed new spindle. Equipment now requires further testing.,,
TKT2575,Regulatory Compliance,Compliance check required for Milling Machine to meet new industry standards.,High,Open,Safety,Laura Wilson,2024-03-12 17:09,2024-03-12 17:09,,,Image of affected part
